Year,Week,Deaths,Population,BaselineRate,Expected,Excess,CumulativeExcess
1996,0,52776.0,13433017,0.0031273346229771888,42009.53915514117,10766.460844858833,10766.460844858833
1996,1,1206.0,13433017,5.573116995058337e-05,748.6377533760756,457.3622466239244,11223.823091482758
1996,2,1114.0,13433017,6.248295679588379e-05,839.3346208493725,274.6653791506275,11498.488470633385
1996,3,1014.0,13433017,6.0648388951308274e-05,814.6908398055363,199.30916019446374,11697.797630827848
1996,4,984.0,13433017,6.303471984937163e-05,846.7464633268465,137.25353667315346,11835.051167501002
1996,5,1010.0,13433017,6.291327320498503e-05,845.1150684882084,164.8849315117916,11999.936099012793
1996,6,1020.0,13433017,6.309039282329553e-05,847.4943193320069,172.50568066799315,12172.441779680787
1996,7,1066.0,13433017,6.257332526826375e-05,840.5485420751165,225.45145792488347,12397.893237605671
1996,8,928.0,13433017,6.355170356345632e-05,853.6911143468693,74.30888565313069,12472.202123258801
1996,9,1040.0,13433017,6.234309098968312e-05,837.4558010969603,202.54419890303973,12674.746322161842
1996,10,918.0,13433017,6.360417210696744e-05,854.3959251838195,63.604074816180514,12738.350396978021
1996,11,1044.0,13433017,6.355134421915103e-05,853.6862872687075,190.31371273129253,12928.664109709314
1996,12,986.0,13433017,6.243219480709679e-05,838.6527341910429,147.3472658089571,13076.011375518272
1996,13,1044.0,13433017,6.0073884716307294e-05,806.9735146501961,237.02648534980392,13313.037860868075
1996,14,982.0,13433017,6.0158159819534264e-05,808.1055835445206,173.89441645547936,13486.932277323554
1996,15,986.0,13433017,5.837657447594465e-05,784.1735173371305,201.82648266286947,13688.758759986424
1996,16,1058.0,13433017,5.9152597885471416e-05,794.5978529897016,263.40214701029845,13952.160906996722
1996,17,978.0,13433017,5.720265876467354e-05,768.4042876310587,209.59571236894135,14161.756619365664
1996,18,950.0,13433017,5.630903884196734e-05,756.4002760178076,193.59972398219236,14355.356343347856
1996,19,964.0,13433017,5.7060437735909897e-05,766.4938301339191,197.50616986608088,14552.862513213937
1996,20,1050.0,13433017,5.4066506031516115e-05,726.2762946519586,323.72370534804145,14876.586218561979
1996,21,1022.0,13433017,5.7628853740975957e-05,774.1293719930436,247.8706280069564,15124.456846568935
1996,22,1026.0,13433017,5.754412463507201e-05,772.9912044730411,253.00879552695892,15377.465642095895
1996,23,1042.0,13433017,5.7740313690651755e-05,775.6266153918577,266.37338460814226,15643.839026704036
1996,24,908.0,13433017,5.5707419378653895e-05,748.3187115395872,159.68128846041282,15803.52031516445
1996,25,954.0,13433017,5.567924762611161e-05,747.9402799087669,206.0597200912331,16009.580035255682
1996,26,964.0,13433017,5.85191710413552e-05,786.0890194244321,177.91098057556792,16187.49101583125
1996,27,994.0,13433017,5.9012348809496054e-05,792.7138847678902,201.28611523210975,16388.777131063358
1996,28,980.0,13433017,5.7282299629780085e-05,769.4741047259296,210.52589527407042,16599.30302633743
1996,29,1030.0,13433017,5.955847340505576e-05,800.0499857441619,229.95001425583814,16829.253040593267
1996,30,1054.0,13433017,5.857417562080834e-05,786.827896875304,267.17210312469604,17096.425143717963
1996,31,1012.0,13433017,5.6826415335134464e-05,763.350203245922,248.649796754078,17345.07494047204
1996,32,950.0,13433017,5.8493538363922585e-05,785.7446952327243,164.25530476727567,17509.330245239318
1996,33,952.0,13433017,5.6511385467957156e-05,759.1184016846214,192.8815983153786,17702.211843554698
1996,34,1016.0,13433017,5.4958754195093555e-05,738.261879401513,277.73812059848694,17979.949964153184
1996,35,944.0,13433017,5.858066577832256e-05,786.9150792715252,157.0849207284748,18137.034884881657
1996,36,880.0,13433017,5.7026871515970345e-05,766.0429345308454,113.9570654691546,18250.991950350814
1996,37,868.0,13433017,5.861293822858269e-05,787.3485956445012,80.65140435549881,18331.643354706313
1996,38,1004.0,13433017,5.892589155805512e-05,791.552503039511,212.44749696048905,18544.090851666802
1996,39,1142.0,13433017,6.0129515810662323e-05,807.7208080863958,334.2791919136042,18878.370043580406
1996,40,1010.0,13433017,6.179666208417639e-05,830.1156123199968,179.88438768000321,19058.254431260408
1996,41,974.0,13433017,6.21141866598976e-05,834.3809253435777,139.6190746564223,19197.873505916832
1996,42,992.0,13433017,5.7892365318525756e-05,777.6691274939669,214.33087250603307,19412.204378422863
1996,43,990.0,13433017,6.113801157143884e-05,821.2679487853347,168.73205121466526,19580.936429637528
1996,44,1050.0,13433017,5.8692510190639125e-05,788.4174871635286,261.58251283647144,19842.518942474002
1996,45,974.0,13433017,6.33731914829564e-05,851.2931585348084,122.70684146519159,19965.225783939193
1996,46,1084.0,13433017,6.170314808778597e-05,828.8594372167464,255.14056278325359,20220.366346722447
1996,47,1092.0,13433017,5.8838707674346465e-05,790.3813604475265,301.6186395524735,20521.984986274918
1996,48,1036.0,13433017,6.145073276374049e-05,825.4687378777829,210.53126212221707,20732.516248397136
1996,49,1012.0,13433017,6.332100216364649e-05,850.5920985213,161.40790147869996,20893.924149875835
1996,50,1062.0,13433017,6.458099021621689e-05,867.5175394512752,194.48246054872482,21088.40661042456
1996,51,1064.0,13433017,6.110013101885997e-05,820.7590986785733,243.2409013214267,21331.64751174599
1996,52,1038.0,13433017,5.932282698132856e-05,796.8845433282453,241.1154566717547,21572.76296841774
1996,53,314.0,13433017,2.145729853204276e-05,288.23625595500545,25.763744044994553,21598.526712462735
1997,0,51430.0,13483268,0.0031273346229771888,42166.69084728039,9263.309152719608,9263.309152719608
1997,1,772.0,13483268,5.573116995058337e-05,751.4383003972623,20.56169960273769,9283.870852322347
1997,2,1136.0,13483268,6.248295679588379e-05,842.4744519113224,293.5255480886776,9577.396400411024
1997,3,960.0,13483268,6.0648388951308274e-05,817.7384819987284,142.2615180012716,9719.657918412295
1997,4,1080.0,13483268,6.303471984937163e-05,849.9140210339973,230.0859789660027,9949.743897378297
1997,5,990.0,13483268,6.291327320498503e-05,848.276523380032,141.72347661996798,10091.467373998266
1997,6,962.0,13483268,6.309039282329553e-05,850.6646746617703,111.33532533822972,10202.802699336497
1997,7,1028.0,13483268,6.257332526826375e-05,843.692914243172,184.30708575682797,10387.109785093324
1997,8,1016.0,13483268,6.355170356345632e-05,856.8846510026365,159.11534899736353,10546.225134090688
1997,9,1040.0,13483268,6.234309098968312e-05,840.5886037622828,199.4113962377172,10745.636530328404
1997,10,976.0,13483268,6.360417210696744e-05,857.5920984363667,118.40790156363335,10864.044431892038
1997,11,1000.0,13483268,6.355134421915103e-05,856.8798058670641,143.12019413293592,11007.164626024974
1997,12,934.0,13483268,6.243219480709679e-05,841.7900144122943,92.20998558770566,11099.374611612679
1997,13,962.0,13483268,6.0073884716307294e-05,809.9922874310752,152.00771256892483,11251.382324181604
1997,14,1012.0,13483268,6.0158159819534264e-05,811.1285912336122,200.87140876638784,11452.253732947993
1997,15,944.0,13483268,5.837657447594465e-05,787.1069985811213,156.89300141887873,11609.14673436687
1997,16,1026.0,13483268,5.9152597885471416e-05,797.5703301860444,228.42966981395557,11837.576404180827
1997,17,972.0,13483268,5.720265876467354e-05,771.2787784366423,200.72122156335774,12038.297625744184
1997,18,1050.0,13483268,5.630903884196734e-05,759.2298615286553,290.7701384713447,12329.067764215528
1997,19,984.0,13483268,5.7060437735909897e-05,769.3611741905863,214.63882580941367,12543.706590024942
1997,20,964.0,13483268,5.4066506031516115e-05,728.9931906465482,235.00680935345179,12778.713399378394
1997,21,966.0,13483268,5.7628853740975957e-05,777.0252795223814,188.97472047761858,12967.688119856013
1997,22,978.0,13483268,5.754412463507201e-05,775.882854280078,202.11714571992195,13169.805265575935
1997,23,1018.0,13483268,5.7740313690651755e-05,778.5281238951267,239.47187610487333,13409.277141680808
1997,24,1030.0,13483268,5.5707419378653895e-05,751.1180650707839,278.8819349292161,13688.159076610023
1997,25,952.0,13483268,5.567924762611161e-05,750.7382177812267,201.2617822187733,13889.420858828798
1997,26,930.0,13483268,5.85191710413552e-05,789.0296662884313,140.97033371156874,14030.391192540366
1997,27,934.0,13483268,5.9012348809496054e-05,795.6793143079162,138.32068569208377,14168.71187823245
1997,28,1008.0,13483268,5.7282299629780085e-05,772.3525975646256,235.64740243537437,14404.359280667824
1997,29,950.0,13483268,5.955847340505576e-05,803.0428585912393,146.95714140876066,14551.316422076585
1997,30,958.0,13483268,5.857417562080834e-05,789.7713077744253,168.22869222557472,14719.54511430216
1997,31,970.0,13483268,5.6826415335134464e-05,766.2057874429278,203.79421255707223,14923.339326859232
1997,32,1008.0,13483268,5.8493538363922585e-05,788.6840540290498,219.31594597095022,15142.655272830183
1997,33,1052.0,13483268,5.6511385467957156e-05,761.9581553157717,290.0418446842283,15432.69711751441
1997,34,1006.0,13483268,5.4958754195093555e-05,741.0236117585707,264.9763882414293,15697.67350575584
1997,35,862.0,13483268,5.858066577832256e-05,789.8588163075517,72.1411836924483,15769.814689448289
1997,36,910.0,13483268,5.7026871515970345e-05,768.9085918513945,141.09140814860552,15910.906097596893
1997,37,914.0,13483268,5.861293822858269e-05,790.2939544034257,123.70604559657431,16034.612143193468
1997,38,982.0,13483268,5.892589155805512e-05,794.5135880161947,187.48641198380528,16222.098555177274
1997,39,910.0,13483268,6.0129515810662323e-05,810.7423763853974,99.25762361460261,16321.356178791875
1997,40,954.0,13483268,6.179666208417639e-05,833.2209563863888,120.77904361361118,16442.135222405486
1997,41,1000.0,13483268,6.21141866598976e-05,837.5022253374242,162.4977746625758,16604.632997068064
1997,42,986.0,13483268,5.7892365318525756e-05,780.5782767435882,205.42172325641184,16810.054720324475
1997,43,970.0,13483268,6.113801157143884e-05,824.3401950048111,145.6598049951889,16955.714525319665
1997,44,890.0,13483268,5.8692510190639125e-05,791.3668444931184,98.63315550688162,17054.347680826544
